,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
0,Declined,LENDER,0,336,Employed,42,946.83,0.0,300.0,300.0,4,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,72.0,OTHER,0,210.71,0.0,0.9986677530706456,DEALER PURCHASE,0.31685,N,N
1,Declined,GATEWAY,693,316,Employed,48,6250.0,1484.0,300.0,1784.0,6,DODGE,31953.0,N,19575.0,23249.0,0.0,72.0,RENT,36,322.91,5.0,1.1876,INDIRECT,0.28544,N,N
2,Declined,GATEWAY,559,341,Others,0,7552.0,1969.0,300.0,2269.0,4,TOYOTA,10730.0,N,17400.0,16913.0,500.0,72.0,RENT,24,234.91,11.0,0.972,INDIRECT,0.30045,N,Y
6,Approved,GATEWAY,676,347,Employed,228,4916.75,869.0,500.0,1369.0,3,NISSAN,43720.0,N,12325.0,9534.0,4000.0,75.0,RENT,156,200.64,3.0,0.7735,INDIRECT,0.27844,N,Y
7,Approved,GATEWAY,819,315,Employed,36,5083.33,1435.0,0.0,1435.0,1,NISSAN,6.0,Y,43505.0,32558.0,877.0,84.0,BUYING,24,438.84,5.0,0.7483,CAR SALE,0.2823,Y,N
9,Declined,GATEWAY,486,188,Employed,2,3290.0,4751.29,0.0,4751.29,9,HYUNDAI,27563.0,N,10550.0,11722.0,800.0,72.0,LIVEWITHPARENTS,5,162.81,10.0,1.111,INDIRECT,1.44416,N,Y
12,Declined,GATEWAY,636,308,Employed,24,4500.0,440.0,350.0,790.0,4,DODGE,26000.0,N,17575.0,17449.0,500.0,72.0,RENT,24,304.82,2.0,0.9928,INDIRECT,0.17556,N,N
13,Approved,LENDER,696,447,Employed,32,2916.67,1101.0,0.0,1101.0,7,NISSAN,56702.0,N,13350.0,16315.65,0.0,72.0,BUYING,29,263.29,3.0,1.2221,REFINANCE-PROMO,0.37749,N,N
14,Declined,GATEWAY,636,182,Retired,300,1613.0,1677.0,0.0,1677.0,8,CHEVROLET,62749.0,N,9725.0,9733.0,1000.0,72.0,BUYING,190,168.75,2.0,1.0008,INDIRECT,1.03968,N,N
15,Approved,GATEWAY,813,468,Employed,7,7000.0,930.0,0.0,930.0,1,BUICK,130.0,Y,29045.0,26554.0,0.0,60.0,OWN,12,335.77,1.0,0.9142,INDIRECT,0.13286,N,N
20,Declined,LENDER,0,348,Employed,4,1920.0,25.0,300.0,325.0,0,UNDECIDED,0.0,Y,20902.6956131264,14000.0,0.0,66.0,LIVEWITHPARENTS,36,307.99,1.0,0.9986677530706456,DEALER PURCHASE,0.16927,N,N
21,Declined,GATEWAY,504,350,Employed,12,2560.0,44.0,300.0,344.0,6,HYUNDAI,37144.0,N,13100.0,14240.0,2000.0,72.0,LIVEWITHPARENTS,1,197.78,1.0,1.087,CAR SALE,0.13438,N,N
22,Approved,GATEWAY,726,452,Employed,13,2708.33,0.0,300.0,300.0,1,HYUNDAI,50.0,Y,20105.0,15971.0,2000.0,75.0,RENT,24,246.88,2.0,0.7943,CAR SALE,0.11077,N,N
23,Declined,GATEWAY,0,395,Employed,24,10000.0,85.0,500.0,1085.0,5,VOLKSWAGEN,12405.0,N,17350.0,17540.0,1000.0,72.0,RENT,24,243.62,3.0,1.0109,INDIRECT,0.1085,N,Y
24,Approved,GATEWAY,780,384,Employed,34,14166.67,2776.0,0.0,2776.0,1,NISSAN,6.0,Y,20360.0,18245.0,4800.0,78.0,BUYING,14,278.51,10.0,0.8961,INDIRECT,0.19595,N,N
25,Approved,GATEWAY,679,322,Employed,25,3228.0,104.0,415.0,519.0,2,KIA,12.0,Y,24095.0,26799.0,500.0,84.0,RENT,42,438.79,5.0,1.1122,INDIRECT,0.16078,N,N
27,Declined,GATEWAY,815,429,Employed,3,10500.0,2429.0,0.0,2429.0,11,TOYOTA,97129.0,N,16050.0,17717.0,2500.0,60.0,BUYING,204,295.29,7.0,1.1038,INDIRECT,0.23133,N,Y
28,Approved,GATEWAY,777,313,Employed,192,8300.0,3622.0,0.0,3622.0,3,FORD,6.0,Y,45035.0,33103.0,0.0,75.0,BUYING,120,496.5,8.0,0.735,INDIRECT,0.43639,N,N
32,Approved,GATEWAY,835,305,Employed,120,15416.67,3079.0,0.0,3079.0,2,CHEVROLET,9.0,Y,25120.0,21176.0,0.0,84.0,BUYING,132,319.52,6.0,0.8429,INDIRECT,0.19972,Y,Y
35,Declined,GATEWAY,523,196,Others,26,2400.0,819.0,0.0,819.0,2,MAZDA,15.0,Y,19730.0,17830.0,2000.0,72.0,OTHER,24,247.64,1.0,0.9036,INDIRECT,0.34125,N,N
38,Declined,LENDER,593,355,Employed,39,2080.0,112.9,400.0,512.9,0,UNDECIDED,0.0,N,20902.6956131264,10700.0,0.0,66.0,OTHER,11,247.23,1.0,0.9986677530706456,DEALER PURCHASE,0.24659,Y,N
39,Declined,GATEWAY,672,395,Employed,1,2000.0,25.0,300.0,325.0,5,CHEVROLET,35214.0,N,11775.0,8359.0,3000.0,72.0,LIVEWITHPARENTS,8,126.79,1.0,0.7098,INDIRECT,0.1625,N,N
40,Declined,CONSUMER,727,392,Employed,7,4600.0,249.0,1130.0,1379.0,13,CHEVROLET,99000.0,N,23000.0,20000.0,3000.0,82.0,RENT,7,243.91,2.0,0.8695,PRIVATE PARTY,0.29978,N,N
50,Declined,GATEWAY,583,173,Retired,180,4900.0,3402.0,0.0,3402.0,10,OTHERS,116770.0,N,19250.0,14772.0,5000.0,72.0,OWN,180,245.36,0.0,0.7673,INDIRECT,0.69429,N,N
60,Declined,LENDER,518,154,Employed,240,1977.0,356.0,300.0,656.0,12,JEEP,84000.0,N,13150.0,3000.0,0.0,24.0,RENT,24,248.5,0.0,0.2281,TITLE LOAN,0.32059,Y,N
69,Declined,GATEWAY,562,382,Employed,6,1800.0,248.0,300.0,548.0,13,ACURA,94739.0,N,10275.0,7837.0,4000.0,24.0,LIVEWITHPARENTS,36,326.55,1.0,0.7627,INDIRECT,0.30444,N,N
71,Declined,CONSUMER,666,420,Employed,2,3900.0,912.15,1100.0,3112.15,3,CHEVROLET,11.0,N,19000.0,17800.0,1200.0,72.0,RENT,37,247.23,2.0,0.9368,DEALER PURCHASE,0.79799,Y,Y
72,Declined,GATEWAY,0,312,Employed,36,1503.0,0.0,0.0,0.0,10,OTHERS,127434.0,N,11450.0,6350.0,3500.0,36.0,OWN,564,196.61,1.0,0.5545,INDIRECT,0.0,N,N
77,Approved,GATEWAY,751,323,Employed,145,3333.33,588.0,0.0,588.0,5,FORD,5517.0,N,28675.0,27796.0,1000.0,84.0,OWN,507,421.55,8.0,0.9693,INDIRECT,0.1764,N,N
78,Approved,GATEWAY,791,308,Employed,132,9062.5,3375.0,0.0,3675.0,1,HYUNDAI,12.0,Y,26325.0,30395.0,3534.0,84.0,BUYING,39,442.29,11.0,1.1546,INDIRECT,0.40552,Y,Y
79,Declined,GATEWAY,676,360,Others,9,2400.0,599.77,300.0,899.77,3,NISSAN,9648.0,N,13000.0,14095.0,0.0,72.0,LIVEWITHPARENTS,11,195.77,1.0,1.0842,INDIRECT,0.3749,N,N
86,Declined,GATEWAY,658,314,Others,24,10800.0,1334.0,1650.0,2984.0,2,FORD,0.0,Y,77640.0,76076.0,2500.0,72.0,RENT,12,1300.59,0.0,0.9798,INDIRECT,0.2763,N,N
87,Declined,GATEWAY,558,194,Employed,21,5912.0,732.31,625.0,1982.31,2,HYUNDAI,10.0,Y,19240.0,20745.0,20.0,72.0,RENT,8,288.13,2.0,1.0782,CAR SALE,0.3353,N,Y
88,Declined,GATEWAY,0,324,Employed,25,2465.0,0.0,150.0,150.0,2,TOYOTA,17.0,Y,20380.0,18302.0,4000.0,72.0,RENT,204,254.2,0.0,0.898,INDIRECT,0.06085,N,N
89,Approved,GATEWAY,675,372,Employed,264,3083.33,125.0,400.0,525.0,2,HYUNDAI,5636.0,Y,17675.0,20160.0,0.0,84.0,RENT,24,333.62,10.0,1.1405,INDIRECT,0.17027,N,N
90,Declined,GATEWAY,716,313,Retired,120,3375.0,400.0,0.0,400.0,10,NISSAN,96781.0,N,7625.0,7296.0,1500.0,60.0,LIVEWITHPARENTS,24,121.6,6.0,0.9568,INDIRECT,0.11852,N,Y
92,Approved,GATEWAY,693,408,Employed,1,3434.67,870.0,525.0,1395.0,3,TOYOTA,4.0,Y,20538.0,16895.0,2500.0,72.0,RENT,12,322.53,4.0,0.8226,INDIRECT,0.40615,N,Y
94,Approved,CONSUMER,806,304,Employed,144,8200.0,2833.0,0.0,2833.0,0,UNDECIDED,0.0,N,20902.6956131264,6000.0,1500.0,66.0,BUYING,6,200.86,4.0,0.9986677530706456,DEALER PURCHASE,0.34549,N,Y
95,Approved,LENDER,833,398,Retired,0,8539.26,844.0,0.0,844.0,5,JEEP,28000.0,N,34425.0,26355.62,0.0,60.0,OWN,456,483.09,12.0,0.7655,DEALER PURCHASE,0.09884,N,Y
98,Approved,GATEWAY,845,456,Retired,168,6500.0,1639.0,0.0,1639.0,3,FORD,37813.0,N,28925.0,23057.0,2000.0,84.0,BUYING,384,359.77,12.0,0.7971,INDIRECT,0.25215,N,Y
100,Declined,GATEWAY,0,444,Employed,8,7500.0,34.0,300.0,334.0,3,OTHERS,18098.0,N,23936.0,17623.0,8000.0,72.0,RENT,12,415.2,2.0,0.7362,INDIRECT,0.04453,N,Y
110,Declined,GATEWAY,664,303,Employed,252,2666.67,503.0,300.0,803.0,5,NISSAN,23174.0,N,17400.0,17637.0,2500.0,66.0,LIVEWITHPARENTS,48,267.23,3.0,1.0136,CAR SALE,0.30112,N,N
113,Declined,GATEWAY,772,406,Retired,0,6015.0,2952.0,0.0,2952.0,3,MAZDA,33782.0,N,18925.0,20149.0,0.0,72.0,BUYING,241,279.85,16.0,1.0646,INDIRECT,0.49077,N,Y
114,Approved,LENDER,765,391,Employed,49,2860.0,1059.8,0.0,1059.8,7,HONDA,62392.0,N,24050.0,24474.0,0.0,84.0,BUYING,132,336.85,4.0,1.0176,DEALER PURCHASE,0.37056,Y,N
116,Declined,LENDER,731,484,Employed,36,1144.0,35.0,300.0,335.0,4,UNDECIDED,0.0,N,20902.6956131264,15000.0,0.0,66.0,LIVEWITHPARENTS,48,259.3,1.0,0.9986677530706456,PRIVATE PARTY,0.29283,N,N
120,Declined,LENDER,0,363,Employed,26,5416.67,468.0,0.0,468.0,0,UNDECIDED,0.0,N,20902.6956131264,20000.0,0.0,66.0,BUYING,240,445.74,0.0,0.9986677530706456,DEALER PURCHASE,0.0864,Y,N
121,Declined,LENDER,715,394,Employed,13,2555.0,0.0,300.0,300.0,12,FORD,58915.0,N,26450.0,26000.0,0.0,42.0,LIVEWITHPARENTS,192,669.61,1.0,0.9829,DEALER PURCHASE,0.11742,Y,N
122,Declined,GATEWAY,570,316,Employed,7,2983.33,287.0,300.0,587.0,5,MAZDA,39287.0,N,14500.0,15640.0,1000.0,72.0,LIVEWITHPARENTS,28,345.88,2.0,1.0786,INDIRECT,0.19676,N,N
124,Approved,GATEWAY,698,387,Retired,204,4000.0,304.0,300.0,604.0,1,KIA,18.0,Y,19400.0,24250.0,0.0,75.0,RENT,26,361.97,9.0,1.25,INDIRECT,0.151,N,N
125,Approved,GATEWAY,729,397,Employed,12,3583.33,453.0,500.0,1253.0,6,HYUNDAI,38601.0,N,12400.0,13323.0,0.0,72.0,RENT,12,275.16,3.0,1.0744,INDIRECT,0.34967,N,Y
126,Declined,GATEWAY,697,308,Employed,1,2500.0,0.0,300.0,300.0,3,HYUNDAI,34770.0,N,16300.0,17060.0,0.0,75.0,LIVEWITHPARENTS,24,227.47,0.0,1.0466,CAR SALE,0.12,N,N
127,Declined,LENDER,510,126,Employed,12,4593.0,119.0,354.0,473.0,0,UNDECIDED,0.0,Y,20902.6956131264,12500.0,0.0,66.0,RENT,24,292.43,4.0,0.9986677530706456,DEALER PURCHASE,0.10298,N,N
128,Approved,GATEWAY,803,335,Employed,119,12500.0,2137.0,0.0,2137.0,2,CHRYSLER,15.0,Y,50130.0,48779.0,1000.0,84.0,BUYING,3,673.64,16.0,0.973,INDIRECT,0.17096,N,Y
129,Approved,GATEWAY,814,452,Retired,120,6000.0,742.0,0.0,742.0,4,FORD,16171.0,N,20575.0,16182.0,6000.0,72.0,OWN,300,253.6,3.0,0.7864,INDIRECT,0.12367,N,Y
130,Approved,GATEWAY,723,184,Employed,139,4214.42,561.0,745.0,1306.0,6,VOLKSWAGEN,24389.0,N,23025.0,21538.0,1500.0,75.0,RENT,13,320.51,4.0,0.9354,INDIRECT,0.30989,N,N
132,Declined,GATEWAY,618,306,Employed,192,4000.0,443.0,750.0,1193.0,6,VOLKSWAGEN,54810.0,N,13050.0,11618.0,0.0,72.0,RENT,36,161.37,1.0,0.8902,INDIRECT,0.29825,N,N
133,Approved,GATEWAY,685,340,Employed,48,7158.33,758.19,0.0,1058.19,2,HYUNDAI,25.0,Y,23750.0,28664.0,450.0,75.0,OWN,564,389.07,6.0,1.2069,INDIRECT,0.14783,N,Y
136,Approved,GATEWAY,808,419,Retired,24,3400.0,315.0,0.0,315.0,3,JEEP,16153.0,N,15625.0,10742.0,5000.0,60.0,OWN,180,191.99,3.0,0.6874,INDIRECT,0.09265,N,N
137,Declined,GATEWAY,640,331,Employed,110,5500.0,1178.0,0.0,1178.0,14,FORD,88105.0,N,14400.0,16058.0,0.0,75.0,BUYING,25,265.61,3.0,1.1151,INDIRECT,0.21418,N,N
140,Declined,GATEWAY,660,330,Employed,36,4458.33,817.64,730.0,1547.64,4,JEEP,24117.0,N,31100.0,27438.0,7000.0,72.0,RENT,24,479.03,6.0,0.8822,INDIRECT,0.34713,N,Y
143,Declined,GATEWAY,599,127,Employed,5,6498.0,2936.0,0.0,2936.0,9,CHEVROLET,41984.0,N,30425.0,28331.0,1000.0,72.0,BUYING,7,443.91,3.0,0.9311,INDIRECT,0.45183,N,N
144,Declined,GATEWAY,707,380,Employed,49,2300.0,274.0,300.0,574.0,5,FORD,18843.0,N,19175.0,19267.0,55.0,72.0,LIVEWITHPARENTS,229,334.05,1.0,1.0047,INDIRECT,0.24957,N,N
145,Declined,GATEWAY,645,181,Retired,444,7683.34,1547.0,0.0,1547.0,3,GMC,399.0,Y,37135.0,43949.0,0.0,84.0,BUYING,300,615.1,19.0,1.1834,INDIRECT,0.20134,N,Y
147,Approved,GATEWAY,692,388,Retired,0,5800.0,425.0,0.0,425.0,5,HONDA,44651.0,N,12400.0,9295.0,4000.0,72.0,OWN,384,199.79,8.0,0.7495,INDIRECT,0.07328,Y,N
150,Approved,LENDER,747,143,Employed,46,8166.67,3442.0,0.0,3442.0,4,SUBARU,48254.0,N,20325.0,21500.0,0.0,48.0,BUYING,12,457.7,4.0,1.0578,LEASE BUYOUT,0.42147,Y,N
155,Approved,LENDER,840,341,Employed,190,19933.33,3151.0,0.0,3451.0,0,UNDECIDED,0.0,Y,20902.6956131264,13000.0,0.0,66.0,BUYING,180,223.73,5.0,0.9986677530706456,DEALER PURCHASE,0.17313,Y,Y
156,Declined,GATEWAY,708,335,Employed,12,4690.0,436.0,300.0,736.0,1,KIA,25.0,Y,18820.0,26310.0,2342.0,84.0,RENT,37,368.29,1.0,1.3979,INDIRECT,0.15693,N,N
157,Declined,GATEWAY,612,171,Employed,1,3440.0,272.0,300.0,572.0,5,HYUNDAI,47153.0,N,19800.0,20133.0,2000.0,72.0,OTHER,12,279.63,6.0,1.0168,INDIRECT,0.16628,N,N
158,Declined,LENDER,569,72,Employed,132,2500.0,1399.03,765.0,2164.03,12,FORD,108000.0,N,16775.0,16699.91,0.0,48.0,RENT,132,359.06,10.0,0.9955,REFINANCE-PROMO,0.86561,N,N
160,Approved,GATEWAY,812,401,Employed,1,16666.67,2044.0,0.0,2044.0,3,OTHERS,19023.0,N,35551.0,29382.0,5000.0,84.0,BUYING,28,395.34,8.0,0.8264,INDIRECT,0.12264,N,Y
163,Approved,LENDER,780,428,Employed,17,3098.33,35.0,350.0,385.0,5,TOYOTA,35663.0,N,12750.0,12345.0,0.0,66.0,LIVEWITHPARENTS,108,214.89,2.0,0.9682,REFINANCE,0.12426,Y,N
164,Approved,GATEWAY,650,319,Employed,5,3208.0,468.16,300.0,768.16,2,HYUNDAI,41004.0,N,12825.0,12564.0,500.0,48.0,LIVEWITHPARENTS,24,275.04,1.0,0.9796,INDIRECT,0.23945,N,N
167,Approved,GATEWAY,682,324,Employed,180,10500.0,1279.0,0.0,1579.0,2,NISSAN,6.0,Y,25800.0,26134.0,2000.0,84.0,BUYING,240,418.23,7.0,1.0129,CAR SALE,0.15038,N,Y
169,Approved,GATEWAY,627,322,Retired,39,3720.0,709.0,0.0,709.0,6,FORD,51706.0,N,19550.0,21124.0,300.0,66.0,OWN,22,422.16,5.0,1.0805,INDIRECT,0.19059,N,N
172,Approved,GATEWAY,742,395,Employed,31,2016.67,50.0,300.0,350.0,8,TOYOTA,32525.0,N,11900.0,8544.0,4000.0,66.0,LIVEWITHPARENTS,7,140.72,7.0,0.7179,CAR SALE,0.17355,N,N
181,Declined,GATEWAY,838,365,Employed,120,9800.0,2295.0,0.0,2295.0,4,NISSAN,33994.0,N,32050.0,22998.0,5000.0,75.0,BUYING,36,306.64,9.0,0.7175,INDIRECT,0.23418,N,Y
184,Approved,GATEWAY,688,323,Others,24,4900.0,50.0,300.0,350.0,4,MAZDA,36400.0,N,17675.0,21710.0,0.0,64.0,OTHER,1,416.34,6.0,1.2282,INDIRECT,0.07143,N,N
188,Declined,GATEWAY,604,92,Employed,48,5195.0,1017.0,400.0,1417.0,1,CHEVROLET,10.0,Y,23895.0,25412.0,0.0,72.0,RENT,46,352.95,24.0,1.0634,INDIRECT,0.27276,N,N
189,Approved,GATEWAY,814,468,Employed,36,4274.42,32.0,300.0,632.0,3,TOYOTA,10.0,Y,19924.0,18090.0,0.0,66.0,LIVEWITHPARENTS,48,310.65,4.0,0.9079,INDIRECT,0.14786,Y,Y
191,Approved,LENDER,828,308,Retired,154,10208.0,2474.0,0.0,2474.0,6,OTHERS,18237.0,N,27975.0,20000.0,0.0,48.0,BUYING,360,300.69,6.0,0.7149,DEALER PURCHASE,0.24236,Y,Y
196,Declined,GATEWAY,540,168,Employed,120,2465.0,543.0,0.0,543.0,6,HYUNDAI,25550.0,N,20902.6956131264,14533.0,0.0,72.0,LIVEWITHPARENTS,288,201.85,2.0,0.9986677530706456,INDIRECT,0.22028,N,N
197,Declined,GATEWAY,544,153,Employed,6,2400.0,905.58,450.0,1355.58,3,OTHERS,25954.0,N,13275.0,12447.0,700.0,72.0,RENT,1,244.37,1.0,0.9376,INDIRECT,0.56483,N,N
198,Approved,GATEWAY,801,433,Employed,219,7166.67,60.0,300.0,660.0,7,NISSAN,57595.0,N,13800.0,13856.0,0.0,72.0,LIVEWITHPARENTS,24,225.4,2.0,1.004,INDIRECT,0.09209,N,Y
200,Approved,LENDER,674,199,Employed,5,3744.0,125.0,300.0,425.0,7,JEEP,60000.0,N,20175.0,20764.8,0.0,66.0,RENT,48,361.12,4.0,1.0292,REFINANCE-PROMO,0.11351,N,N
202,Declined,GATEWAY,800,433,Employed,3,21655.0,4924.0,0.0,4924.0,11,OTHERS,145635.0,N,4625.0,4988.0,500.0,48.0,LIVEWITHPARENTS,32,129.49,20.0,1.0784,INDIRECT,0.22738,N,Y
203,Approved,GATEWAY,683,395,Employed,1,7683.33,2257.0,300.0,2557.0,4,HYUNDAI,32630.0,N,12725.0,11392.0,1000.0,75.0,LIVEWITHPARENTS,5,175.66,2.0,0.8952,CAR SALE,0.3328,N,Y
205,Approved,GATEWAY,784,308,Employed,14,14750.0,1285.0,0.0,1285.0,7,ACURA,28841.0,N,29825.0,32733.0,5000.0,75.0,OWN,10,484.22,1.0,1.0975,INDIRECT,0.08712,N,Y
206,Declined,GATEWAY,512,161,Employed,123,3500.0,1134.0,890.0,2024.0,6,OTHERS,85764.0,N,11575.0,11507.0,500.0,72.0,RENT,132,208.18,4.0,0.9941,INDIRECT,0.57829,N,N
212,Declined,LENDER,555,347,Employed,4,4800.0,1199.0,300.0,1799.0,4,UNDECIDED,0.0,Y,20902.6956131264,12000.0,0.0,75.0,LIVEWITHPARENTS,216,246.46,1.0,0.9986677530706456,DEALER PURCHASE,0.37479,N,Y
215,Declined,GATEWAY,563,331,Employed,4,1747.0,0.0,0.0,0.0,10,NISSAN,78499.0,N,9225.0,8549.0,1500.0,60.0,LIVEWITHPARENTS,2,142.49,1.0,0.9267,INDIRECT,0.0,N,N
222,Declined,CONSUMER,779,304,Employed,28,2348.33,999.0,300.0,1299.0,8,VOLKSWAGEN,60000.0,N,15000.0,15000.0,0.0,60.0,LIVEWITHPARENTS,132,267.36,7.0,1.0,DEALER PURCHASE,0.55316,Y,Y
223,Declined,GATEWAY,0,472,Employed,42,3333.33,25.0,0.0,25.0,3,CHEVROLET,5.0,Y,35340.0,35474.0,5000.0,72.0,LIVEWITHPARENTS,156,492.7,1.0,1.0037,INDIRECT,0.0075,N,N
224,Approved,GATEWAY,711,372,Employed,24,7300.0,685.69,600.0,1585.69,6,KIA,63320.0,N,18125.0,17374.0,0.0,75.0,RENT,36,315.92,4.0,0.9585,INDIRECT,0.21722,N,Y
225,Approved,CONSUMER,772,337,Employed,192,5966.0,1419.14,0.0,1419.14,2,TOYOTA,0.0,Y,33840.0,23840.0,10000.0,84.0,BUYING,210,336.95,3.0,0.7044,DEALER PURCHASE,0.23787,Y,N
231,Approved,LENDER,770,333,Employed,1,8573.34,1279.0,300.0,1579.0,4,UNDECIDED,0.0,Y,20902.6956131264,20000.0,0.0,75.0,LIVEWITHPARENTS,192,296.85,5.0,0.9986677530706456,DEALER PURCHASE,0.18418,Y,Y
237,Approved,LENDER,748,490,Retired,247,2469.0,0.0,300.0,300.0,7,CHEVROLET,45231.0,N,9725.0,9600.0,0.0,66.0,LIVEWITHPARENTS,132,158.45,1.0,0.9871,REFINANCE-PROMO,0.1122,Y,Y
238,Declined,GATEWAY,0,332,Employed,31,3200.0,0.0,300.0,300.0,3,CHRYSLER,12.0,Y,25365.0,24164.0,0.0,72.0,LIVEWITHPARENTS,43,448.18,0.0,0.9526,INDIRECT,0.09375,N,N
239,Declined,CONSUMER,549,318,Employed,10,931.67,46.0,300.0,346.0,9,FORD,100412.0,N,8250.0,7050.0,1200.0,48.0,RENT,3,146.88,2.0,0.8545,DEALER PURCHASE,0.37138,N,N
243,Declined,GATEWAY,792,377,Retired,193,8750.0,1199.0,0.0,1199.0,3,BUICK,41922.0,N,17750.0,22122.0,0.0,72.0,OWN,361,325.6,5.0,1.2463,INDIRECT,0.13703,N,Y
246,Approved,GATEWAY,739,310,Employed,12,7321.0,1652.0,0.0,1652.0,7,GMC,32936.0,N,17550.0,13579.0,6000.0,66.0,BUYING,36,234.05,2.0,0.7737,INDIRECT,0.22565,N,N
247,Declined,GATEWAY,735,450,Retired,48,6166.67,526.0,500.0,1326.0,3,NISSAN,1820.0,N,24670.0,25136.0,1000.0,75.0,RENT,48,335.15,3.0,1.0188,CAR SALE,0.21503,N,Y
248,Declined,LENDER,666,360,Employed,1,1000.0,144.22,300.0,444.22,0,UNDECIDED,0.0,N,20902.6956131264,12000.0,0.0,66.0,LIVEWITHPARENTS,5,225.72,1.0,0.9986677530706456,DEALER PURCHASE,0.44422,N,N
249,Approved,GATEWAY,752,491,Employed,9,3200.0,25.0,400.0,725.0,4,FORD,47328.0,N,12075.0,10038.0,0.0,72.0,RENT,25,175.58,2.0,0.8313,INDIRECT,0.22656,N,Y
250,Approved,GATEWAY,702,307,Employed,3,7108.76,3145.57,300.0,3745.57,1,HYUNDAI,61.0,Y,21080.0,26447.0,3800.0,75.0,RENT,36,454.44,6.0,1.2546,INDIRECT,0.52689,Y,Y
251,Approved,GATEWAY,823,363,Employed,120,20833.34,7697.0,0.0,7697.0,1,BUICK,12.0,Y,53235.0,41618.0,10000.0,72.0,OWN,15,658.99,9.0,0.7817,INDIRECT,0.36946,N,Y
253,Declined,GATEWAY,611,310,Employed,3,4000.0,438.0,300.0,738.0,3,JEEP,9886.0,N,22100.0,22913.0,0.0,72.0,OTHER,3,318.24,0.0,1.0367,INDIRECT,0.1845,N,N
256,Approved,LENDER,740,410,Employed,12,1489.92,197.26,300.0,497.26,4,MAZDA,35237.0,N,14950.0,15000.0,0.0,69.0,RENT,24,184.35,1.0,1.0033,DEALER PURCHASE,0.33375,Y,N
257,Declined,GATEWAY,607,70,Employed,145,5605.0,1939.0,500.0,2439.0,4,CHRYSLER,10.0,Y,32890.0,43024.0,0.0,72.0,RENT,25,782.8,14.0,1.3081,INDIRECT,0.43515,N,N
259,Approved,LENDER,755,341,Employed,144,2430.0,476.0,0.0,476.0,6,TOYOTA,55000.0,N,17400.0,16271.0,0.0,66.0,OWN,123,269.72,1.0,0.9351,REFINANCE,0.19588,Y,Y
260,Approved,GATEWAY,800,362,Retired,0,4696.0,545.0,0.0,545.0,2,CHEVROLET,98.0,Y,45945.0,19545.0,20000.0,72.0,OTHER,302,301.31,1.0,0.4253,INDIRECT,0.11606,N,Y
262,Declined,LENDER,585,193,Employed,217,4030.0,372.0,0.0,372.0,4,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,48.0,BUYING,36,283.68,3.0,0.9986677530706456,REFINANCE,0.09231,Y,N
266,Declined,GATEWAY,682,446,Employed,8,5166.67,1448.73,300.0,2423.73,4,CHEVROLET,27943.0,N,17875.0,18608.0,0.0,75.0,LIVEWITHPARENTS,8,283.37,5.0,1.041,INDIRECT,0.46911,N,Y
270,Declined,GATEWAY,564,195,Employed,36,2383.33,406.38,400.0,806.38,4,KIA,34552.0,N,16525.0,18626.0,0.0,72.0,RENT,27,258.7,2.0,1.1271,INDIRECT,0.33834,N,N
274,Declined,GATEWAY,592,307,Employed,24,2000.0,140.0,300.0,440.0,7,MAZDA,60194.0,N,12950.0,13928.0,1500.0,72.0,RENT,12,308.13,1.0,1.0755,INDIRECT,0.22,N,N
276,Declined,CONSUMER,548,123,Employed,108,4500.0,845.0,1250.0,2095.0,0,UNDECIDED,0.0,N,13000.0,10000.0,3000.0,48.0,RENT,26,208.34,4.0,0.7692,DEALER PURCHASE,0.46556,N,N
281,Declined,GATEWAY,711,164,Employed,168,5083.33,3242.0,0.0,3242.0,4,VOLKSWAGEN,4142.0,N,24700.0,25168.0,0.0,84.0,BUYING,17,352.25,9.0,1.0189,INDIRECT,0.63777,N,N
282,Declined,GATEWAY,609,118,Employed,216,6800.0,2052.0,0.0,2052.0,3,VOLKSWAGEN,10.0,Y,23375.0,24890.0,0.0,72.0,OWN,36,459.66,9.0,1.0648,INDIRECT,0.30176,N,N
283,Declined,GATEWAY,762,380,Employed,48,3600.0,1567.97,0.0,2167.97,12,HONDA,56733.0,N,10850.0,11699.0,1000.0,72.0,BUYING,7,12.34,8.0,1.0782,INDIRECT,0.60221,N,Y
286,Approved,GATEWAY,741,424,Retired,36,8170.0,730.0,0.0,730.0,5,OTHERS,57993.0,N,17350.0,21329.0,150.0,84.0,OWN,105,347.57,6.0,1.2293,INDIRECT,0.08935,N,Y
287,Declined,LENDER,531,178,Employed,18,9500.0,25.0,450.0,475.0,4,HONDA,27497.0,Y,23600.0,20000.0,0.0,48.0,RENT,24,450.66,1.0,0.8474,REFINANCE-PROMO,0.15526,N,N
