,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
2232,Declined,GATEWAY,0,318,Employed,7,1756.0,0.0,270.0,270.0,2,HONDA,8.0,Y,20415.0,19300.0,1000.0,75.0,RENT,16,257.34,0.0,0.9453,INDIRECT,0.15376,N,N
2234,Declined,GATEWAY,598,347,Employed,32,3900.0,25.0,0.0,25.0,3,MAZDA,63.0,Y,33570.0,34299.0,0.0,84.0,LIVEWITHPARENTS,42,408.33,1.0,1.0217,INDIRECT,0.00641,N,N
2235,Approved,GATEWAY,807,360,Employed,26,7780.0,1420.0,0.0,1420.0,6,DODGE,92162.0,N,16850.0,21678.0,4000.0,72.0,BUYING,120,376.18,1.0,1.2865,INDIRECT,0.18252,N,N
2238,Approved,GATEWAY,628,185,Employed,42,6500.0,874.08,0.0,874.08,2,DODGE,25.0,Y,24785.0,34229.0,3000.0,75.0,BUYING,2,479.03,6.0,1.381,INDIRECT,0.13447,N,N
2244,Declined,GATEWAY,650,321,Employed,24,3200.0,990.0,425.0,1415.0,1,KIA,5.0,Y,21820.0,22219.0,0.0,72.0,RENT,36,15.47,7.0,1.0182,INDIRECT,0.44219,N,N
2245,Declined,GATEWAY,637,171,Employed,120,8400.0,1157.0,0.0,1157.0,10,JEEP,108500.0,N,18875.0,17999.0,0.0,72.0,OWN,12,249.99,5.0,0.9535,INDIRECT,0.13774,N,N
2248,Declined,LENDER,0,347,Employed,5,2240.0,0.0,400.0,400.0,0,UNDECIDED,0.0,Y,20902.6956131264,20000.0,0.0,75.0,RENT,5,420.66,0.0,0.9986677530706456,DEALER PURCHASE,0.17857,N,N
2249,Approved,GATEWAY,818,347,Employed,47,4495.0,968.0,300.0,1268.0,7,JEEP,79881.0,N,10350.0,7994.0,3000.0,60.0,LIVEWITHPARENTS,147,156.65,5.0,0.7723,INDIRECT,0.24175,N,Y
2250,Declined,LENDER,596,148,Employed,180,3150.0,1458.0,0.0,1458.0,11,NISSAN,74460.0,N,12425.0,8000.0,0.0,60.0,BUYING,180,196.4,4.0,0.6438,DEALER PURCHASE,0.46286,N,N
2251,Approved,GATEWAY,718,350,Employed,26,5583.0,40.0,600.0,640.0,9,CHEVROLET,79760.0,N,15175.0,28785.0,2000.0,48.0,RENT,30,413.19,3.0,1.8968,INDIRECT,0.11463,N,N
2256,Declined,GATEWAY,640,302,Employed,12,6964.67,199.0,650.0,1499.0,5,TOYOTA,17917.0,N,18475.0,18095.0,0.0,75.0,RENT,12,301.18,2.0,0.9794,INDIRECT,0.21523,N,Y
2257,Declined,LENDER,625,142,Employed,6,3333.0,396.0,400.0,796.0,5,HONDA,22156.0,N,26250.0,28911.91,0.0,48.0,RENT,0,646.78,11.0,1.1014,REFINANCE-PROMO,0.23882,N,N
2258,Declined,GATEWAY,717,176,Employed,134,7167.0,2539.63,0.0,2539.63,4,MERCEDES-BENZ,30614.0,N,48175.0,39068.0,2000.0,72.0,BUYING,24,633.3,4.0,0.8109,INDIRECT,0.35435,N,N
2263,Approved,GATEWAY,657,412,Employed,47,2835.0,822.0,0.0,822.0,3,KIA,7.0,Y,17615.0,21988.0,0.0,75.0,OWN,204,318.55,1.0,1.2482,INDIRECT,0.28995,N,N
2264,Approved,GATEWAY,766,376,Employed,168,4360.0,551.0,300.0,851.0,3,DODGE,8.0,Y,29385.0,33884.0,2000.0,84.0,LIVEWITHPARENTS,156,459.94,1.0,1.1531,INDIRECT,0.19518,N,N
2265,Approved,LENDER,775,322,Others,116,17083.33,3238.95,0.0,3238.95,1,TOYOTA,20.0,Y,46120.0,40000.0,0.0,60.0,BUYING,252,748.93,8.0,0.8673,DEALER PURCHASE,0.1896,Y,Y
2268,Declined,GATEWAY,0,341,Employed,15,2265.0,0.0,0.0,0.0,2,OTHERS,12.0,Y,26868.0,20309.0,4000.0,75.0,LIVEWITHPARENTS,24,356.21,0.0,0.7558,INDIRECT,0.0,N,N
2269,Declined,CONSUMER,505,141,Employed,6,2200.0,1242.08,239.0,1481.08,3,NISSAN,0.0,Y,17705.0,17205.0,500.0,72.0,RENT,19,238.96,3.0,0.9717,DEALER PURCHASE,0.67322,Y,N
2270,Declined,GATEWAY,0,193,Employed,20,3200.0,0.0,675.0,675.0,5,OTHERS,65249.0,N,28625.0,20363.0,6000.0,72.0,RENT,2,282.82,0.0,0.7113,INDIRECT,0.21094,N,N
2272,Approved,GATEWAY,650,316,Employed,14,5031.33,931.08,1250.0,2181.08,5,CHEVROLET,62035.0,N,11625.0,12270.0,500.0,75.0,RENT,10,269.36,6.0,1.0554,INDIRECT,0.4335,N,Y
2274,Declined,LENDER,494,113,Employed,25,3825.0,1092.0,650.0,1742.0,6,TOYOTA,33265.0,N,15000.0,16787.9,0.0,60.0,RENT,24,403.76,3.0,1.1191,REFINANCE-PROMO,0.45542,Y,N
2276,Declined,GATEWAY,592,179,Employed,12,2675.0,126.85,300.0,426.85,5,CHRYSLER,42405.0,N,20325.0,23055.0,3500.0,75.0,LIVEWITHPARENTS,24,497.67,3.0,1.1343,CAR SALE,0.15957,N,N
2277,Approved,GATEWAY,813,387,Employed,48,7666.67,1773.0,0.0,1773.0,1,TOYOTA,5.0,Y,28084.0,13266.0,12000.0,48.0,BUYING,216,293.84,2.0,0.4723,INDIRECT,0.23126,Y,Y
2278,Approved,GATEWAY,643,341,Employed,48,7333.33,2860.0,0.0,3160.0,6,NISSAN,43870.0,N,18000.0,13700.0,2000.0,60.0,BUYING,36,271.97,6.0,0.7611,INDIRECT,0.43091,N,Y
2280,Declined,GATEWAY,645,345,Employed,36,3400.0,716.0,600.0,1316.0,3,MAZDA,5.0,Y,20930.0,22050.0,0.0,72.0,RENT,24,371.16,1.0,1.0535,INDIRECT,0.38706,N,N
2281,Approved,GATEWAY,731,496,Employed,216,3333.33,25.0,300.0,325.0,4,NISSAN,25.0,Y,20565.0,19502.0,5000.0,72.0,LIVEWITHPARENTS,24,301.04,2.0,0.9483,CAR SALE,0.0975,N,N
2283,Approved,GATEWAY,739,315,Employed,48,4583.33,1211.0,0.0,1211.0,6,CHEVROLET,27084.0,N,15075.0,15974.0,0.0,75.0,OWN,120,271.4,1.0,1.0596,INDIRECT,0.26422,N,N
2286,Declined,LENDER,625,303,Others,30,3358.33,219.0,450.0,1119.0,4,UNDECIDED,0.0,Y,20902.6956131264,11000.0,0.0,60.0,RENT,6,269.71,5.0,0.9986677530706456,REFINANCE,0.3332,Y,Y
2287,Approved,GATEWAY,636,184,Employed,133,3958.33,1086.0,0.0,1086.0,2,NISSAN,25.0,Y,25920.0,30957.0,500.0,75.0,OWN,327,486.3,2.0,1.1943,INDIRECT,0.27436,Y,N
2288,Approved,LENDER,625,347,Employed,24,4166.67,126.0,800.0,926.0,4,TOYOTA,17395.0,N,21325.0,20000.0,0.0,69.0,RENT,12,229.85,1.0,0.9378,DEALER PURCHASE,0.22224,N,N
2291,Declined,GATEWAY,613,183,Employed,108,2500.0,1388.6,0.0,1388.6,8,TOYOTA,59516.0,N,15425.0,15228.0,1000.0,75.0,BUYING,48,203.04,5.0,0.9872,INDIRECT,0.55544,N,N
2296,Approved,GATEWAY,725,314,Employed,216,11000.0,3100.39,0.0,3400.39,1,KIA,5.0,Y,21820.0,18588.0,3000.0,84.0,BUYING,7,257.55,9.0,0.8518,INDIRECT,0.30913,Y,Y
2305,Approved,GATEWAY,797,363,Employed,264,4500.0,1126.0,0.0,1126.0,4,NISSAN,54924.0,N,14025.0,13789.0,3000.0,72.0,BUYING,228,218.66,3.0,0.9831,CAR SALE,0.25022,N,N
2306,Declined,GATEWAY,700,121,Retired,0,7157.0,1450.0,0.0,1450.0,3,GMC,98.0,Y,72080.0,68920.0,5300.0,84.0,BUYING,5,958.26,9.0,0.9561,INDIRECT,0.2026,N,N
2311,Declined,GATEWAY,545,145,Others,120,5112.0,2560.81,600.0,3160.81,4,HYUNDAI,23173.0,N,12700.0,14241.0,1000.0,72.0,RENT,7,197.8,1.0,1.1213,CAR SALE,0.61831,N,N
2314,Declined,GATEWAY,649,337,Employed,6,8950.0,850.73,0.0,1350.73,4,FORD,23372.0,N,33200.0,32737.0,2500.0,75.0,RENT,24,436.5,11.0,0.986,INDIRECT,0.15092,N,Y
2315,Declined,GATEWAY,754,357,Others,240,6684.67,558.0,0.0,558.0,4,CHEVROLET,3203.0,Y,16920.0,19992.0,0.0,75.0,LIVEWITHPARENTS,240,295.68,0.0,1.1815,INDIRECT,0.08347,N,Y
2317,Approved,GATEWAY,698,330,Employed,156,2840.0,464.0,0.0,464.0,1,JEEP,12.0,Y,25390.0,25099.0,1000.0,84.0,OWN,5,348.91,1.0,0.9885,INDIRECT,0.16338,N,N
2318,Declined,GATEWAY,561,316,Employed,4,5031.0,395.0,0.0,795.0,3,NISSAN,32731.0,N,14850.0,14858.0,500.0,72.0,LIVEWITHPARENTS,3,206.37,1.0,1.0005,INDIRECT,0.15802,N,Y
2320,Approved,GATEWAY,733,369,Employed,12,6250.0,1450.0,0.0,1450.0,2,JEEP,15.0,Y,44415.0,39732.0,3000.0,72.0,BUYING,48,629.05,6.0,0.8945,INDIRECT,0.232,N,N
2321,Approved,GATEWAY,640,310,Employed,12,3137.5,1015.0,0.0,1015.0,5,NISSAN,26885.0,N,21520.0,24701.0,0.0,75.0,RENT,144,417.86,4.0,1.1478,CAR SALE,0.32351,N,N
2322,Declined,GATEWAY,662,336,Employed,36,5080.0,313.0,450.0,1213.0,8,VOLKSWAGEN,57679.0,N,13625.0,13760.0,4000.0,72.0,RENT,24,191.12,2.0,1.0099,INDIRECT,0.23878,N,Y
2324,Approved,LENDER,703,359,Employed,5,13250.0,3418.6,300.0,3718.6,0,UNDECIDED,0.0,Y,20902.6956131264,15000.0,0.0,66.0,LIVEWITHPARENTS,4,265.44,17.0,0.9986677530706456,DEALER PURCHASE,0.28065,Y,Y
2326,Declined,GATEWAY,605,155,Employed,18,3750.0,528.5,550.0,1078.5,2,DODGE,17372.0,N,19025.0,19863.0,1500.0,72.0,RENT,30,389.25,5.0,1.044,INDIRECT,0.2876,N,N
2329,Declined,GATEWAY,0,183,Employed,27,2881.0,0.0,401.0,401.0,5,NISSAN,34115.0,N,11950.0,13470.0,0.0,72.0,LIVEWITHPARENTS,12,187.09,0.0,1.1271,INDIRECT,0.13919,N,N
2330,Approved,GATEWAY,783,401,Employed,30,5900.0,9.0,700.0,709.0,1,MAZDA,12.0,Y,24280.0,17753.0,0.0,72.0,RENT,24,253.09,2.0,0.7311,INDIRECT,0.12017,N,N
2332,Declined,GATEWAY,592,341,Employed,114,9650.0,3405.54,0.0,3405.54,11,HONDA,89097.0,N,7750.0,6477.0,1000.0,60.0,BUYING,3,158.44,2.0,0.8357,INDIRECT,0.35291,N,Y
2336,Approved,CONSUMER,790,360,Employed,21,17700.0,1669.0,0.0,1669.0,3,CHRYSLER,64997.0,N,13500.0,13500.0,0.0,36.0,BUYING,29,390.04,3.0,1.0,REFINANCE-PROMO,0.09429,Y,Y
2337,Approved,LENDER,815,448,Employed,336,7916.67,56.0,0.0,56.0,4,TOYOTA,23816.0,N,26475.0,21305.29,0.0,36.0,OWN,276,619.16,2.0,0.8047,DEALER PURCHASE,0.00707,Y,N
2338,Approved,LENDER,762,327,Employed,6,5253.33,750.98,0.0,750.98,4,TOYOTA,48341.0,N,15375.0,19108.03,0.0,81.0,BUYING,216,300.47,0.0,1.2427,REFINANCE-PROMO,0.14295,Y,N
